name,cal,pro,carb,fat,category
全麥吐司 (中杯),247.0,13.0,41.0,4.2,早餐/主食
全麥吐司 (大杯),345.8,18.2,57.4,5.9,早餐/主食
全麥吐司 (小盒),185.2,9.8,30.8,3.2,早餐/主食
全麥吐司 (中盒),247.0,13.0,41.0,4.2,早餐/主食
全麥吐司 (大盒),345.8,18.2,57.4,5.9,早餐/主食
全麥吐司 (100g),247.0,13.0,41.0,4.2,早餐/主食
全麥吐司 (150g),370.5,19.5,61.5,6.3,早餐/主食
全麥吐司 (200g),494.0,26.0,82.0,8.4,早餐/主食
全麥吐司 (250g),617.5,32.5,102.5,10.5,早餐/主食
全麥吐司 (300g),741.0,39.0,123.0,12.6,早餐/主食
可頌 (半份),203.0,4.0,22.5,10.5,早餐/烘焙
可頌 (小份),304.5,6.0,33.8,15.8,早餐/烘焙
可頌 (1份),406.0,8.0,45.0,21.0,早餐/烘焙
可頌 (1.25份),507.5,10.0,56.2,26.2,早餐/烘焙
可頌 (1.5份),609.0,12.0,67.5,31.5,早餐/烘焙
可頌 (2份),812.0,16.0,90.0,42.0,早餐/烘焙
可頌 (2.5份),1015.0,20.0,112.5,52.5,早餐/烘焙
可頌 (3份),1218.0,24.0,135.0,63.0,早餐/烘焙
可頌 (小碗),304.5,6.0,33.8,15.8,早餐/烘焙
可頌 (中碗),406.0,8.0,45.0,21.0,早餐/烘焙
可頌 (大碗),548.1,10.8,60.8,28.4,早餐/烘焙
可頌 (小杯),304.5,6.0,33.8,15.8,早餐/烘焙
可頌 (中杯),406.0,8.0,45.0,21.0,早餐/烘焙
可頌 (大杯),568.4,11.2,63.0,29.4,早餐/烘焙
可頌 (小盒),304.5,6.0,33.8,15.8,早餐/烘焙
可頌 (中盒),406.0,8.0,45.0,21.0,早餐/烘焙
可頌 (大盒),568.4,11.2,63.0,29.4,早餐/烘焙
可頌 (100g),406.0,8.0,45.0,21.0,早餐/烘焙
可頌 (150g),609.0,12.0,67.5,31.5,早餐/烘焙
可頌 (200g),812.0,16.0,90.0,42.0,早餐/烘焙
可頌 (250g),1015.0,20.0,112.5,52.5,早餐/烘焙
可頌 (300g),1218.0,24.0,135.0,63.0,早餐/烘焙
火腿起司蛋吐司 (半份),215.0,11.0,19.0,11.0,早餐
火腿起司蛋吐司 (小份),322.5,16.5,28.5,16.5,早餐
火腿起司蛋吐司 (1份),430.0,22.0,38.0,22.0,早餐
火腿起司蛋吐司 (1.25份),537.5,27.5,47.5,27.5,早餐
火腿起司蛋吐司 (1.5份),645.0,33.0,57.0,33.0,早餐
火腿起司蛋吐司 (2份),860.0,44.0,76.0,44.0,早餐
火腿起司蛋吐司 (2.5份),1075.0,55.0,95.0,55.0,早餐
火腿起司蛋吐司 (3份),1290.0,66.0,114.0,66.0,早餐
火腿起司蛋吐司 (小碗),322.5,16.5,28.5,16.5,早餐
火腿起司蛋吐司 (中碗),430.0,22.0,38.0,22.0,早餐
火腿起司蛋吐司 (大碗),580.5,29.7,51.3,29.7,早餐
火腿起司蛋吐司 (小杯),322.5,16.5,28.5,16.5,早餐
火腿起司蛋吐司 (中杯),430.0,22.0,38.0,22.0,早餐
火腿起司蛋吐司 (大杯),602.0,30.8,53.2,30.8,早餐
火腿起司蛋吐司 (小盒),322.5,16.5,28.5,16.5,早餐
火腿起司蛋吐司 (中盒),430.0,22.0,38.0,22.0,早餐
火腿起司蛋吐司 (大盒),602.0,30.8,53.2,30.8,早餐
火腿起司蛋吐司 (100g),430.0,22.0,38.0,22.0,早餐
火腿起司蛋吐司 (150g),645.0,33.0,57.0,33.0,早餐
火腿起司蛋吐司 (200g),860.0,44.0,76.0,44.0,早餐
火腿起司蛋吐司 (250g),1075.0,55.0,95.0,55.0,早餐
火腿起司蛋吐司 (300g),1290.0,66.0,114.0,66.0,早餐
鮪魚蛋吐司 (半份),205.0,12.0,18.0,10.0,早餐
鮪魚蛋吐司 (小份),307.5,18.0,27.0,15.0,早餐
鮪魚蛋吐司 (1份),410.0,24.0,36.0,20.0,早餐
鮪魚蛋吐司 (1.25份),512.5,30.0,45.0,25.0,早餐
鮪魚蛋吐司 (1.5份),615.0,36.0,54.0,30.0,早餐
鮪魚蛋吐司 (2份),820.0,48.0,72.0,40.0,早餐
鮪魚蛋吐司 (2.5份),1025.0,60.0,90.0,50.0,早餐
鮪魚蛋吐司 (3份),1230.0,72.0,108.0,60.0,早餐
鮪魚蛋吐司 (小碗),307.5,18.0,27.0,15.0,早餐
鮪魚蛋吐司 (中碗),410.0,24.0,36.0,20.0,早餐
鮪魚蛋吐司 (大碗),553.5,32.4,48.6,27.0,早餐
鮪魚蛋吐司 (小杯),307.5,18.0,27.0,15.0,早餐
鮪魚蛋吐司 (中杯),410.0,24.0,36.0,20.0,早餐
鮪魚蛋吐司 (大杯),574.0,33.6,50.4,28.0,早餐
鮪魚蛋吐司 (小盒),307.5,18.0,27.0,15.0,早餐
鮪魚蛋吐司 (中盒),410.0,24.0,36.0,20.0,早餐
鮪魚蛋吐司 (大盒),574.0,33.6,50.4,28.0,早餐
鮪魚蛋吐司 (100g),410.0,24.0,36.0,20.0,早餐
鮪魚蛋吐司 (150g),615.0,36.0,54.0,30.0,早餐
鮪魚蛋吐司 (200g),820.0,48.0,72.0,40.0,早餐
鮪魚蛋吐司 (250g),1025.0,60.0,90.0,50.0,早餐
鮪魚蛋吐司 (300g),1230.0,72.0,108.0,60.0,早餐
培根蛋吐司 (半份),230.0,10.0,17.5,13.5,早餐
培根蛋吐司 (小份),345.0,15.0,26.2,20.2,早餐
培根蛋吐司 (1份),460.0,20.0,35.0,27.0,早餐
培根蛋吐司 (1.25份),575.0,25.0,43.8,33.8,早餐
培根蛋吐司 (1.5份),690.0,30.0,52.5,40.5,早餐
培根蛋吐司 (2份),920.0,40.0,70.0,54.0,早餐
培根蛋吐司 (2.5份),1150.0,50.0,87.5,67.5,早餐
培根蛋吐司 (3份),1380.0,60.0,105.0,81.0,早餐
培根蛋吐司 (小碗),345.0,15.0,26.2,20.2,早餐
培根蛋吐司 (中碗),460.0,20.0,35.0,27.0,早餐
培根蛋吐司 (大碗),621.0,27.0,47.2,36.5,早餐
培根蛋吐司 (小杯),345.0,15.0,26.2,20.2,早餐
培根蛋吐司 (中杯),460.0,20.0,35.0,27.0,早餐
培根蛋吐司 (大杯),644.0,28.0,49.0,37.8,早餐
培根蛋吐司 (小盒),345.0,15.0,26.2,20.2,早餐
培根蛋吐司 (中盒),460.0,20.0,35.0,27.0,早餐
培根蛋吐司 (大盒),644.0,28.0,49.0,37.8,早餐
培根蛋吐司 (100g),460.0,20.0,35.0,27.0,早餐
培根蛋吐司 (150g),690.0,30.0,52.5,40.5,早餐
培根蛋吐司 (200g),920.0,40.0,70.0,54.0,早餐
培根蛋吐司 (250g),1150.0,50.0,87.5,67.5,早餐
培根蛋吐司 (300g),1380.0,60.0,105.0,81.0,早餐
總匯三明治 (半份),260.0,12.0,22.0,13.5,早餐
總匯三明治 (小份),390.0,18.0,33.0,20.2,早餐
總匯三明治 (1份),520.0,24.0,44.0,27.0,早餐
總匯三明治 (1.25份),650.0,30.0,55.0,33.8,早餐
總匯三明治 (1.5份),780.0,36.0,66.0,40.5,早餐
總匯三明治 (2份),1040.0,48.0,88.0,54.0,早餐
總匯三明治 (2.5份),1300.0,60.0,110.0,67.5,早餐
總匯三明治 (3份),1560.0,72.0,132.0,81.0,早餐
總匯三明治 (小碗),390.0,18.0,33.0,20.2,早餐
總匯三明治 (中碗),520.0,24.0,44.0,27.0,早餐
總匯三明治 (大碗),702.0,32.4,59.4,36.5,早餐
總匯三明治 (小杯),390.0,18.0,33.0,20.2,早餐
總匯三明治 (中杯),520.0,24.0,44.0,27.0,早餐
總匯三明治 (大杯),728.0,33.6,61.6,37.8,早餐
總匯三明治 (小盒),390.0,18.0,33.0,20.2,早餐
總匯三明治 (中盒),520.0,24.0,44.0,27.0,早餐
總匯三明治 (大盒),728.0,33.6,61.6,37.8,早餐
總匯三明治 (100g),520.0,24.0,44.0,27.0,早餐
總匯三明治 (150g),780.0,36.0,66.0,40.5,早餐
總匯三明治 (200g),1040.0,48.0,88.0,54.0,早餐
總匯三明治 (250g),1300.0,60.0,110.0,67.5,早餐
總匯三明治 (300g),1560.0,72.0,132.0,81.0,早餐
鮪魚三明治 (半份),195.0,11.0,21.0,8.0,早餐
鮪魚三明治 (小份),292.5,16.5,31.5,12.0,早餐
鮪魚三明治 (1份),390.0,22.0,42.0,16.0,早餐
鮪魚三明治 (1.25份),487.5,27.5,52.5,20.0,早餐
鮪魚三明治 (1.5份),585.0,33.0,63.0,24.0,早餐
鮪魚三明治 (2份),780.0,44.0,84.0,32.0,早餐
鮪魚三明治 (2.5份),975.0,55.0,105.0,40.0,早餐
鮪魚三明治 (3份),1170.0,66.0,126.0,48.0,早餐
鮪魚三明治 (小碗),292.5,16.5,31.5,12.0,早餐
鮪魚三明治 (中碗),390.0,22.0,42.0,16.0,早餐
鮪魚三明治 (大碗),526.5,29.7,56.7,21.6,早餐
鮪魚三明治 (小杯),292.5,16.5,31.5,12.0,早餐
鮪魚三明治 (中杯),390.0,22.0,42.0,16.0,早餐
鮪魚三明治 (大杯),546.0,30.8,58.8,22.4,早餐
鮪魚三明治 (小盒),292.5,16.5,31.5,12.0,早餐
鮪魚三明治 (中盒),390.0,22.0,42.0,16.0,早餐
鮪魚三明治 (大盒),546.0,30.8,58.8,22.4,早餐
鮪魚三明治 (100g),390.0,22.0,42.0,16.0,早餐
鮪魚三明治 (150g),585.0,33.0,63.0,24.0,早餐
鮪魚三明治 (200g),780.0,44.0,84.0,32.0,早餐
鮪魚三明治 (250g),975.0,55.0,105.0,40.0,早餐
鮪魚三明治 (300g),1170.0,66.0,126.0,48.0,早餐
雞肉三明治 (半份),180.0,12.5,19.0,6.5,早餐
雞肉三明治 (小份),270.0,18.8,28.5,9.8,早餐
雞肉三明治 (1份),360.0,25.0,38.0,13.0,早餐
雞肉三明治 (1.25份),450.0,31.2,47.5,16.2,早餐
雞肉三明治 (1.5份),540.0,37.5,57.0,19.5,早餐
雞肉三明治 (2份),720.0,50.0,76.0,26.0,早餐
雞肉三明治 (2.5份),900.0,62.5,95.0,32.5,早餐
雞肉三明治 (3份),1080.0,75.0,114.0,39.0,早餐
雞肉三明治 (小碗),270.0,18.8,28.5,9.8,早餐
雞肉三明治 (中碗),360.0,25.0,38.0,13.0,早餐
雞肉三明治 (大碗),486.0,33.8,51.3,17.6,早餐
雞肉三明治 (小杯),270.0,18.8,28.5,9.8,早餐
雞肉三明治 (中杯),360.0,25.0,38.0,13.0,早餐
雞肉三明治 (大杯),504.0,35.0,53.2,18.2,早餐
雞肉三明治 (小盒),270.0,18.8,28.5,9.8,早餐
雞肉三明治 (中盒),360.0,25.0,38.0,13.0,早餐
雞肉三明治 (大盒),504.0,35.0,53.2,18.2,早餐
雞肉三明治 (100g),360.0,25.0,38.0,13.0,早餐
雞肉三明治 (150g),540.0,37.5,57.0,19.5,早餐
雞肉三明治 (200g),720.0,50.0,76.0,26.0,早餐
雞肉三明治 (250g),900.0,62.5,95.0,32.5,早餐
雞肉三明治 (300g),1080.0,75.0,114.0,39.0,早餐
火腿三明治 (半份),175.0,9.0,20.0,7.0,早餐
火腿三明治 (小份),262.5,13.5,30.0,10.5,早餐
火腿三明治 (1份),350.0,18.0,40.0,14.0,早餐
火腿三明治 (1.25份),437.5,22.5,50.0,17.5,早餐
火腿三明治 (1.5份),525.0,27.0,60.0,21.0,早餐
火腿三明治 (2份),700.0,36.0,80.0,28.0,早餐
火腿三明治 (2.5份),875.0,45.0,100.0,35.0,早餐
火腿三明治 (3份),1050.0,54.0,120.0,42.0,早餐
火腿三明治 (小碗),262.5,13.5,30.0,10.5,早餐
火腿三明治 (中碗),350.0,18.0,40.0,14.0,早餐
火腿三明治 (大碗),472.5,24.3,54.0,18.9,早餐
火腿三明治 (小杯),262.5,13.5,30.0,10.5,早餐
火腿三明治 (中杯),350.0,18.0,40.0,14.0,早餐
火腿三明治 (大杯),490.0,25.2,56.0,19.6,早餐
火腿三明治 (小盒),262.5,13.5,30.0,10.5,早餐
火腿三明治 (中盒),350.0,18.0,40.0,14.0,早餐
火腿三明治 (大盒),490.0,25.2,56.0,19.6,早餐
火腿三明治 (100g),350.0,18.0,40.0,14.0,早餐
火腿三明治 (150g),525.0,27.0,60.0,21.0,早餐
火腿三明治 (200g),700.0,36.0,80.0,28.0,早餐
火腿三明治 (250g),875.0,45.0,100.0,35.0,早餐
火腿三明治 (300g),1050.0,54.0,120.0,42.0,早餐
起司蛋餅 (半份),195.0,8.0,18.0,10.5,早餐
起司蛋餅 (小份),292.5,12.0,27.0,15.8,早餐
起司蛋餅 (1份),390.0,16.0,36.0,21.0,早餐
起司蛋餅 (1.25份),487.5,20.0,45.0,26.2,早餐
起司蛋餅 (1.5份),585.0,24.0,54.0,31.5,早餐
起司蛋餅 (2份),780.0,32.0,72.0,42.0,早餐
起司蛋餅 (2.5份),975.0,40.0,90.0,52.5,早餐
起司蛋餅 (3份),1170.0,48.0,108.0,63.0,早餐
起司蛋餅 (小碗),292.5,12.0,27.0,15.8,早餐
起司蛋餅 (中碗),390.0,16.0,36.0,21.0,早餐
起司蛋餅 (大碗),526.5,21.6,48.6,28.4,早餐
起司蛋餅 (小杯),292.5,12.0,27.0,15.8,早餐
起司蛋餅 (中杯),390.0,16.0,36.0,21.0,早餐
起司蛋餅 (大杯),546.0,22.4,50.4,29.4,早餐
起司蛋餅 (小盒),292.5,12.0,27.0,15.8,早餐
起司蛋餅 (中盒),390.0,16.0,36.0,21.0,早餐
起司蛋餅 (大盒),546.0,22.4,50.4,29.4,早餐
起司蛋餅 (100g),390.0,16.0,36.0,21.0,早餐
起司蛋餅 (150g),585.0,24.0,54.0,31.5,早餐
起司蛋餅 (200g),780.0,32.0,72.0,42.0,早餐
起司蛋餅 (250g),975.0,40.0,90.0,52.5,早餐
起司蛋餅 (300g),1170.0,48.0,108.0,63.0,早餐
培根蛋餅 (半份),215.0,9.0,18.0,12.5,早餐
培根蛋餅 (小份),322.5,13.5,27.0,18.8,早餐
培根蛋餅 (1份),430.0,18.0,36.0,25.0,早餐
培根蛋餅 (1.25份),537.5,22.5,45.0,31.2,早餐
培根蛋餅 (1.5份),645.0,27.0,54.0,37.5,早餐
培根蛋餅 (2份),860.0,36.0,72.0,50.0,早餐
培根蛋餅 (2.5份),1075.0,45.0,90.0,62.5,早餐
培根蛋餅 (3份),1290.0,54.0,108.0,75.0,早餐
培根蛋餅 (小碗),322.5,13.5,27.0,18.8,早餐
培根蛋餅 (中碗),430.0,18.0,36.0,25.0,早餐
培根蛋餅 (大碗),580.5,24.3,48.6,33.8,早餐
培根蛋餅 (小杯),322.5,13.5,27.0,18.8,早餐
培根蛋餅 (中杯),430.0,18.0,36.0,25.0,早餐
培根蛋餅 (大杯),602.0,25.2,50.4,35.0,早餐
培根蛋餅 (小盒),322.5,13.5,27.0,18.8,早餐
培根蛋餅 (中盒),430.0,18.0,36.0,25.0,早餐
培根蛋餅 (大盒),602.0,25.2,50.4,35.0,早餐
培根蛋餅 (100g),430.0,18.0,36.0,25.0,早餐
培根蛋餅 (150g),645.0,27.0,54.0,37.5,早餐
培根蛋餅 (200g),860.0,36.0,72.0,50.0,早餐
培根蛋餅 (250g),1075.0,45.0,90.0,62.5,早餐
培根蛋餅 (300g),1290.0,54.0,108.0,75.0,早餐
玉米蛋餅 (半份),180.0,6.5,21.5,8.0,早餐
玉米蛋餅 (小份),270.0,9.8,32.2,12.0,早餐
玉米蛋餅 (1份),360.0,13.0,43.0,16.0,早餐
玉米蛋餅 (1.25份),450.0,16.2,53.8,20.0,早餐
玉米蛋餅 (1.5份),540.0,19.5,64.5,24.0,早餐
玉米蛋餅 (2份),720.0,26.0,86.0,32.0,早餐
玉米蛋餅 (2.5份),900.0,32.5,107.5,40.0,早餐
玉米蛋餅 (3份),1080.0,39.0,129.0,48.0,早餐
玉米蛋餅 (小碗),270.0,9.8,32.2,12.0,早餐
玉米蛋餅 (中碗),360.0,13.0,43.0,16.0,早餐
玉米蛋餅 (大碗),486.0,17.6,58.1,21.6,早餐
玉米蛋餅 (小杯),270.0,9.8,32.2,12.0,早餐
玉米蛋餅 (中杯),360.0,13.0,43.0,16.0,早餐
玉米蛋餅 (大杯),504.0,18.2,60.2,22.4,早餐
玉米蛋餅 (小盒),270.0,9.8,32.2,12.0,早餐
玉米蛋餅 (中盒),360.0,13.0,43.0,16.0,早餐
玉米蛋餅 (大盒),504.0,18.2,60.2,22.4,早餐
玉米蛋餅 (100g),360.0,13.0,43.0,16.0,早餐
玉米蛋餅 (150g),540.0,19.5,64.5,24.0,早餐
玉米蛋餅 (200g),720.0,26.0,86.0,32.0,早餐
玉米蛋餅 (250g),900.0,32.5,107.5,40.0,早餐
玉米蛋餅 (300g),1080.0,39.0,129.0,48.0,早餐
鮪魚蛋餅 (半份),205.0,10.0,18.5,11.0,早餐
鮪魚蛋餅 (小份),307.5,15.0,27.8,16.5,早餐
鮪魚蛋餅 (1份),410.0,20.0,37.0,22.0,早餐
鮪魚蛋餅 (1.25份),512.5,25.0,46.2,27.5,早餐
鮪魚蛋餅 (1.5份),615.0,30.0,55.5,33.0,早餐
鮪魚蛋餅 (2份),820.0,40.0,74.0,44.0,早餐
鮪魚蛋餅 (2.5份),1025.0,50.0,92.5,55.0,早餐
鮪魚蛋餅 (3份),1230.0,60.0,111.0,66.0,早餐
鮪魚蛋餅 (小碗),307.5,15.0,27.8,16.5,早餐
鮪魚蛋餅 (中碗),410.0,20.0,37.0,22.0,早餐
鮪魚蛋餅 (大碗),553.5,27.0,50.0,29.7,早餐
鮪魚蛋餅 (小杯),307.5,15.0,27.8,16.5,早餐
鮪魚蛋餅 (中杯),410.0,20.0,37.0,22.0,早餐
鮪魚蛋餅 (大杯),574.0,28.0,51.8,30.8,早餐
鮪魚蛋餅 (小盒),307.5,15.0,27.8,16.5,早餐
鮪魚蛋餅 (中盒),410.0,20.0,37.0,22.0,早餐
鮪魚蛋餅 (大盒),574.0,28.0,51.8,30.8,早餐
鮪魚蛋餅 (100g),410.0,20.0,37.0,22.0,早餐
鮪魚蛋餅 (150g),615.0,30.0,55.5,33.0,早餐
鮪魚蛋餅 (200g),820.0,40.0,74.0,44.0,早餐
鮪魚蛋餅 (250g),1025.0,50.0,92.5,55.0,早餐
鮪魚蛋餅 (300g),1230.0,60.0,111.0,66.0,早餐
蘿蔔糕加蛋 (半份),150.0,5.0,17.0,7.0,早餐
蘿蔔糕加蛋 (小份),225.0,7.5,25.5,10.5,早餐
蘿蔔糕加蛋 (1份),300.0,10.0,34.0,14.0,早餐
蘿蔔糕加蛋 (1.25份),375.0,12.5,42.5,17.5,早餐
蘿蔔糕加蛋 (1.5份),450.0,15.0,51.0,21.0,早餐
蘿蔔糕加蛋 (2份),600.0,20.0,68.0,28.0,早餐
蘿蔔糕加蛋 (2.5份),750.0,25.0,85.0,35.0,早餐
蘿蔔糕加蛋 (3份),900.0,30.0,102.0,42.0,早餐
蘿蔔糕加蛋 (小碗),225.0,7.5,25.5,10.5,早餐
蘿蔔糕加蛋 (中碗),300.0,10.0,34.0,14.0,早餐
蘿蔔糕加蛋 (大碗),405.0,13.5,45.9,18.9,早餐
蘿蔔糕加蛋 (小杯),225.0,7.5,25.5,10.5,早餐
蘿蔔糕加蛋 (中杯),300.0,10.0,34.0,14.0,早餐
蘿蔔糕加蛋 (大杯),420.0,14.0,47.6,19.6,早餐
蘿蔔糕加蛋 (小盒),225.0,7.5,25.5,10.5,早餐
蘿蔔糕加蛋 (中盒),300.0,10.0,34.0,14.0,早餐
蘿蔔糕加蛋 (大盒),420.0,14.0,47.6,19.6,早餐
蘿蔔糕加蛋 (100g),300.0,10.0,34.0,14.0,早餐
蘿蔔糕加蛋 (150g),450.0,15.0,51.0,21.0,早餐
蘿蔔糕加蛋 (200g),600.0,20.0,68.0,28.0,早餐
蘿蔔糕加蛋 (250g),750.0,25.0,85.0,35.0,早餐
蘿蔔糕加蛋 (300g),900.0,30.0,102.0,42.0,早餐
法國吐司 (半份),160.0,5.5,21.0,6.0,早餐
法國吐司 (小份),240.0,8.2,31.5,9.0,早餐
法國吐司 (1份),320.0,11.0,42.0,12.0,早餐
法國吐司 (1.25份),400.0,13.8,52.5,15.0,早餐
法國吐司 (1.5份),480.0,16.5,63.0,18.0,早餐
法國吐司 (2份),640.0,22.0,84.0,24.0,早餐
法國吐司 (2.5份),800.0,27.5,105.0,30.0,早餐
法國吐司 (3份),960.0,33.0,126.0,36.0,早餐
法國吐司 (小碗),240.0,8.2,31.5,9.0,早餐
法國吐司 (中碗),320.0,11.0,42.0,12.0,早餐
法國吐司 (大碗),432.0,14.9,56.7,16.2,早餐
法國吐司 (小杯),240.0,8.2,31.5,9.0,早餐
法國吐司 (中杯),320.0,11.0,42.0,12.0,早餐
法國吐司 (大杯),448.0,15.4,58.8,16.8,早餐
法國吐司 (小盒),240.0,8.2,31.5,9.0,早餐
法國吐司 (中盒),320.0,11.0,42.0,12.0,早餐
法國吐司 (大盒),448.0,15.4,58.8,16.8,早餐
法國吐司 (100g),320.0,11.0,42.0,12.0,早餐
法國吐司 (150g),480.0,16.5,63.0,18.0,早餐
法國吐司 (200g),640.0,22.0,84.0,24.0,早餐
法國吐司 (250g),800.0,27.5,105.0,30.0,早餐
法國吐司 (300g),960.0,33.0,126.0,36.0,早餐
美式早餐盤 (半份),325.0,14.0,22.5,19.5,早餐
美式早餐盤 (小份),487.5,21.0,33.8,29.2,早餐
美式早餐盤 (1份),650.0,28.0,45.0,39.0,早餐
美式早餐盤 (1.25份),812.5,35.0,56.2,48.8,早餐
美式早餐盤 (1.5份),975.0,42.0,67.5,58.5,早餐
美式早餐盤 (2份),1300.0,56.0,90.0,78.0,早餐
美式早餐盤 (2.5份),1625.0,70.0,112.5,97.5,早餐
美式早餐盤 (3份),1950.0,84.0,135.0,117.0,早餐
美式早餐盤 (小碗),487.5,21.0,33.8,29.2,早餐
